Title,Platforms,Link
Night in the Woods,"PS4, PS5",https://www.pushsquare.comgames/ps5/night_in_the_woods
Nightmares from the Deep 2: The Siren's Call,PS4,https://www.pushsquare.comgames/ps4/nightmares_from_the_deep_2_the_sirens_call
Nights of Azure,PS4,https://www.pushsquare.comgames/ps4/nights_of_azure
Nights of Azure 2: Bride of the New Moon,PS4,https://www.pushsquare.comgames/ps4/nights_of_azure_2_bride_of_the_new_moon
Nioh,PS4,https://www.pushsquare.comgames/ps4/nioh
No More Heroes III,"PS4, PS5",https://www.pushsquare.comgames/ps5/no_more_heroes_iii
Nobunaga's Ambition: Taishi,PS4,https://www.pushsquare.comgames/ps4/nobunagas_ambition_taishi
Observer: System Redux,PS5,https://www.pushsquare.comgames/ps5/observer_system_redux
Oddballers,PS4,https://www.pushsquare.comgames/ps4/oddballers
Oddworld: New 'n' Tasty,PS4,https://www.pushsquare.comgames/ps4/oddworld_new_n_tasty
Oddworld: Soulstorm,"PS4, PS5",https://www.pushsquare.comgames/ps5/oddworld_soulstorm
Odin Sphere: Leifthrasir,PS4,https://www.pushsquare.comgames/ps4/odin_sphere_leifthrasir
Omega Quintet,PS4,https://www.pushsquare.comgames/ps4/omega_quintet
Omno,PS4,https://www.pushsquare.comgames/ps4/omno
Onee Chanbara Origin,PS4,https://www.pushsquare.comgames/ps4/onee_chanbara_origin
Oninaki,PS4,https://www.pushsquare.comgames/ps4/oninaki
Orcs Must Die 3,"PS4, PS5",https://www.pushsquare.comgames/ps5/orcs_must_die_3
Outlast II,PS4,https://www.pushsquare.comgames/ps4/outlast_ii
Overcooked: All You Can Eat,"PS4, PS5",https://www.pushsquare.comgames/ps5/overcooked_all_you_can_eat
Overpass,PS4,https://www.pushsquare.comgames/ps4/overpass
Overpass 2,PS5,https://www.pushsquare.comgames/ps5/overpass_2
Paradise Killer,"PS4, PS5",https://www.pushsquare.comgames/ps5/paradise_killer
Pathfinder: Wrath of the Righteous Enhanced Edition,"PS4, PS5",https://www.pushsquare.comgames/ps5/pathfinder_wrath_of_the_righteous_enhanced_edition
PAW Patrol Mighty Pups Save Adventure Bay,"PS4, PS5",https://www.pushsquare.comgames/ps5/paw_patrol_mighty_pups_save_adventure_bay
PAW Patrol The Movie: Adventure City Calls,"PS4, PS5",https://www.pushsquare.comgames/ps5/paw_patrol_the_movie_adventure_city_calls
PAW Patrol: On a Roll,PS4,https://www.pushsquare.comgames/ps4/paw_patrol_on_a_roll
Payday 2: Crimewave Edition,PS4,https://www.pushsquare.comgames/ps4/payday_2_crimewave_edition
Phogs,PS4,https://www.pushsquare.comgames/ps4/phogs
Pile Up!,PS4,https://www.pushsquare.comgames/ps4/pile_up
Pillars of Eternity II: Deadfire,PS4,https://www.pushsquare.comgames/ps4/pillars_of_eternity_ii_deadfire
Pillars of Eternity: Complete Edition,PS4,https://www.pushsquare.comgames/ps4/pillars_of_eternity_complete_edition
PJ Masks: Heroes of the Night,"PS4, PS5",https://www.pushsquare.comgames/ps5/pj_masks_heroes_of_the_night
PlateUp!,"PS4, PS5",https://www.pushsquare.comgames/ps5/plateup
Poker Club,"PS4, PS5",https://www.pushsquare.comgames/ps5/poker_club
Police Simulator: Patrol Officers,"PS4, PS5",https://www.pushsquare.comgames/ps5/police_simulator_patrol_officers
Portal Knights,PS4,https://www.pushsquare.comgames/ps4/portal_knights
